stepcount_2,strategy_2,strat code_2,move_2,probabilities_2,utility_2,common_move_2,number_coop_2,number_defect_2,outcomes_2,p1_2,p2_2,p3_2,p4_2,u1_2,u2_2,u3_2,u4_2,m1_2,m2_2,m3_2,m4_2,uv_2,wm_2,nc_2,mutC_2
True,RANDOM,0,{1: 'C'},{1: 0.485},0,['C'],1,0,"{1: ['C', 'C']}",0.485,None,None,None,1.5,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
2,RANDOM,0,{1: 'C'},{1: 0.47},1.5,['C'],1,0,"{1: ['C', 'C']}",0.47,None,None,None,3.0,None,None,None,1,None,None,None,0.01,{},1,1
3,RANDOM,0,{1: 'C'},{1: 0.49},3.0,['C'],1,0,"{1: ['C', 'D']}",0.49,None,None,None,1.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
4,RANDOM,0,{1: 'D'},{1: 0.5},1.0,['D'],0,1,"{1: ['D', 'D']}",0.5,None,None,None,2.0,None,None,None,2,None,None,None,0.01,{},0,0
5,RANDOM,0,{1: 'C'},{1: 0.52},2.0,['C'],1,0,"{1: ['C', 'D']}",0.52,None,None,None,0.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
6,RANDOM,0,{1: 'D'},{1: 0.5},0.0,['D'],0,1,"{1: ['D', 'C']}",0.5,None,None,None,2.0,None,None,None,2,None,None,None,0.01,{},0,0
7,RANDOM,0,{1: 'D'},{1: 0.51},2.0,['D'],0,1,"{1: ['D', 'D']}",0.51,None,None,None,3.0,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
8,RANDOM,0,{1: 'C'},{1: 0.53},3.0,['C'],1,0,"{1: ['C', 'D']}",0.53,None,None,None,1.0,None,None,None,1,None,None,None,0.01,{},1,0
9,RANDOM,0,{1: 'C'},{1: 0.55},1.0,['C'],1,0,"{1: ['C', 'D']}",0.55,None,None,None,-1.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
10,RANDOM,0,{1: 'D'},{1: 0.53},-1.0,['D'],0,1,"{1: ['D', 'C']}",0.53,None,None,None,1.0,None,None,None,2,None,None,None,0.01,{},0,0
11,RANDOM,0,{1: 'C'},{1: 0.515},1.0,['C'],1,0,"{1: ['C', 'C']}",0.515,None,None,None,2.5,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
12,RANDOM,0,{1: 'D'},{1: 0.495},2.5,['D'],0,1,"{1: ['D', 'C']}",0.495,None,None,None,4.5,None,None,None,2,None,None,None,0.01,{},0,0
13,RANDOM,0,{1: 'D'},{1: 0.505},4.5,['D'],0,1,"{1: ['D', 'D']}",0.505,None,None,None,5.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
14,RANDOM,0,{1: 'D'},{1: 0.485},5.5,['D'],0,1,"{1: ['D', 'C']}",0.485,None,None,None,7.5,None,None,None,2,None,None,None,0.01,{},0,0
15,RANDOM,0,{1: 'C'},{1: 0.505},7.5,['C'],1,0,"{1: ['C', 'D']}",0.505,None,None,None,5.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
16,RANDOM,0,{1: 'D'},{1: 0.485},5.5,['D'],0,1,"{1: ['D', 'C']}",0.485,None,None,None,7.5,None,None,None,2,None,None,None,0.01,{},0,0
17,RANDOM,0,{1: 'D'},{1: 0.46499999999999997},7.5,['D'],0,1,"{1: ['D', 'C']}",0.46499999999999997,None,None,None,9.5,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
18,RANDOM,0,{1: 'D'},{1: 0.475},9.5,['D'],0,1,"{1: ['D', 'D']}",0.475,None,None,None,10.5,None,None,None,2,None,None,None,0.01,{},0,0
19,RANDOM,0,{1: 'D'},{1: 0.485},10.5,['D'],0,1,"{1: ['D', 'D']}",0.485,None,None,None,11.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
20,RANDOM,0,{1: 'C'},{1: 0.47},11.5,['C'],1,0,"{1: ['C', 'C']}",0.47,None,None,None,13.0,None,None,None,1,None,None,None,0.01,{},1,1
21,RANDOM,0,{1: 'C'},{1: 0.45499999999999996},13.0,['C'],1,0,"{1: ['C', 'C']}",0.45499999999999996,None,None,None,14.5,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
22,RANDOM,0,{1: 'D'},{1: 0.43499999999999994},14.5,['D'],0,1,"{1: ['D', 'C']}",0.43499999999999994,None,None,None,16.5,None,None,None,2,None,None,None,0.01,{},0,0
23,RANDOM,0,{1: 'D'},{1: 0.4149999999999999},16.5,['D'],0,1,"{1: ['D', 'C']}",0.4149999999999999,None,None,None,18.5,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
24,RANDOM,0,{1: 'D'},{1: 0.42499999999999993},18.5,['D'],0,1,"{1: ['D', 'D']}",0.42499999999999993,None,None,None,19.5,None,None,None,2,None,None,None,0.01,{},0,0
25,RANDOM,0,{1: 'D'},{1: 0.4049999999999999},19.5,['D'],0,1,"{1: ['D', 'C']}",0.4049999999999999,None,None,None,21.5,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
26,RANDOM,0,{1: 'D'},{1: 0.4149999999999999},21.5,['D'],0,1,"{1: ['D', 'D']}",0.4149999999999999,None,None,None,22.5,None,None,None,2,None,None,None,0.01,{},0,0
27,RANDOM,0,{1: 'D'},{1: 0.3949999999999999},22.5,['D'],0,1,"{1: ['D', 'C']}",0.3949999999999999,None,None,None,24.5,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
28,RANDOM,0,{1: 'C'},{1: 0.3799999999999999},24.5,['C'],1,0,"{1: ['C', 'C']}",0.3799999999999999,None,None,None,26.0,None,None,None,1,None,None,None,0.01,{},1,1
29,RANDOM,0,{1: 'D'},{1: 0.3599999999999999},26.0,['D'],0,1,"{1: ['D', 'C']}",0.3599999999999999,None,None,None,28.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
30,RANDOM,0,{1: 'C'},{1: 0.34499999999999986},28.0,['C'],1,0,"{1: ['C', 'C']}",0.34499999999999986,None,None,None,29.5,None,None,None,1,None,None,None,0.01,{},1,1
31,RANDOM,0,{1: 'C'},{1: 0.32999999999999985},29.5,['C'],1,0,"{1: ['C', 'C']}",0.32999999999999985,None,None,None,31.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
32,RANDOM,0,{1: 'D'},{1: 0.33999999999999986},31.0,['D'],0,1,"{1: ['D', 'D']}",0.33999999999999986,None,None,None,32.0,None,None,None,2,None,None,None,0.01,{},0,0
33,RANDOM,0,{1: 'C'},{1: 0.3599999999999999},32.0,['C'],1,0,"{1: ['C', 'D']}",0.3599999999999999,None,None,None,30.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
34,RANDOM,0,{1: 'D'},{1: 0.33999999999999986},30.0,['D'],0,1,"{1: ['D', 'C']}",0.33999999999999986,None,None,None,32.0,None,None,None,2,None,None,None,0.01,{},0,0
35,RANDOM,0,{1: 'C'},{1: 0.3599999999999999},32.0,['C'],1,0,"{1: ['C', 'D']}",0.3599999999999999,None,None,None,30.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
36,RANDOM,0,{1: 'D'},{1: 0.33999999999999986},30.0,['D'],0,1,"{1: ['D', 'C']}",0.33999999999999986,None,None,None,32.0,None,None,None,2,None,None,None,0.01,{},0,0
37,RANDOM,0,{1: 'D'},{1: 0.31999999999999984},32.0,['D'],0,1,"{1: ['D', 'C']}",0.31999999999999984,None,None,None,34.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
38,RANDOM,0,{1: 'C'},{1: 0.33999999999999986},34.0,['C'],1,0,"{1: ['C', 'D']}",0.33999999999999986,None,None,None,32.0,None,None,None,1,None,None,None,0.01,{},1,0
39,RANDOM,0,{1: 'D'},{1: 0.31999999999999984},32.0,['D'],0,1,"{1: ['D', 'C']}",0.31999999999999984,None,None,None,34.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
40,RANDOM,0,{1: 'C'},{1: 0.33999999999999986},34.0,['C'],1,0,"{1: ['C', 'D']}",0.33999999999999986,None,None,None,32.0,None,None,None,1,None,None,None,0.01,{},1,0
41,RANDOM,0,{1: 'C'},{1: 0.32499999999999984},32.0,['C'],1,0,"{1: ['C', 'C']}",0.32499999999999984,None,None,None,33.5,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
42,RANDOM,0,{1: 'D'},{1: 0.3049999999999998},33.5,['D'],0,1,"{1: ['D', 'C']}",0.3049999999999998,None,None,None,35.5,None,None,None,2,None,None,None,0.01,{},0,0
43,RANDOM,0,{1: 'C'},{1: 0.32499999999999984},35.5,['C'],1,0,"{1: ['C', 'D']}",0.32499999999999984,None,None,None,33.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
44,RANDOM,0,{1: 'D'},{1: 0.33499999999999985},33.5,['D'],0,1,"{1: ['D', 'D']}",0.33499999999999985,None,None,None,34.5,None,None,None,2,None,None,None,0.01,{},0,0
45,RANDOM,0,{1: 'C'},{1: 0.31999999999999984},34.5,['C'],1,0,"{1: ['C', 'C']}",0.31999999999999984,None,None,None,36.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
46,RANDOM,0,{1: 'C'},{1: 0.3049999999999998},36.0,['C'],1,0,"{1: ['C', 'C']}",0.3049999999999998,None,None,None,37.5,None,None,None,1,None,None,None,0.01,{},1,1
47,RANDOM,0,{1: 'D'},{1: 0.31499999999999984},37.5,['D'],0,1,"{1: ['D', 'D']}",0.31499999999999984,None,None,None,38.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
48,RANDOM,0,{1: 'D'},{1: 0.2949999999999998},38.5,['D'],0,1,"{1: ['D', 'C']}",0.2949999999999998,None,None,None,40.5,None,None,None,2,None,None,None,0.01,{},0,0
49,RANDOM,0,{1: 'D'},{1: 0.3049999999999998},40.5,['D'],0,1,"{1: ['D', 'D']}",0.3049999999999998,None,None,None,41.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
50,RANDOM,0,{1: 'D'},{1: 0.2849999999999998},41.5,['D'],0,1,"{1: ['D', 'C']}",0.2849999999999998,None,None,None,43.5,None,None,None,2,None,None,None,0.01,{},0,0
51,RANDOM,0,{1: 'D'},{1: 0.2949999999999998},43.5,['D'],0,1,"{1: ['D', 'D']}",0.2949999999999998,None,None,None,44.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
52,RANDOM,0,{1: 'D'},{1: 0.2749999999999998},44.5,['D'],0,1,"{1: ['D', 'C']}",0.2749999999999998,None,None,None,46.5,None,None,None,2,None,None,None,0.01,{},0,0
53,RANDOM,0,{1: 'C'},{1: 0.2599999999999998},46.5,['C'],1,0,"{1: ['C', 'C']}",0.2599999999999998,None,None,None,48.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
54,RANDOM,0,{1: 'D'},{1: 0.2699999999999998},48.0,['D'],0,1,"{1: ['D', 'D']}",0.2699999999999998,None,None,None,49.0,None,None,None,2,None,None,None,0.01,{},0,0
55,RANDOM,0,{1: 'C'},{1: 0.2899999999999998},49.0,['C'],1,0,"{1: ['C', 'D']}",0.2899999999999998,None,None,None,47.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
56,RANDOM,0,{1: 'C'},{1: 0.2749999999999998},47.0,['C'],1,0,"{1: ['C', 'C']}",0.2749999999999998,None,None,None,48.5,None,None,None,1,None,None,None,0.01,{},1,1
57,RANDOM,0,{1: 'D'},{1: 0.2549999999999998},48.5,['D'],0,1,"{1: ['D', 'C']}",0.2549999999999998,None,None,None,50.5,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
58,RANDOM,0,{1: 'C'},{1: 0.2749999999999998},50.5,['C'],1,0,"{1: ['C', 'D']}",0.2749999999999998,None,None,None,48.5,None,None,None,1,None,None,None,0.01,{},1,0
59,RANDOM,0,{1: 'C'},{1: 0.2599999999999998},48.5,['C'],1,0,"{1: ['C', 'C']}",0.2599999999999998,None,None,None,50.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
60,RANDOM,0,{1: 'D'},{1: 0.2699999999999998},50.0,['D'],0,1,"{1: ['D', 'D']}",0.2699999999999998,None,None,None,51.0,None,None,None,2,None,None,None,0.01,{},0,0
61,RANDOM,0,{1: 'D'},{1: 0.2499999999999998},51.0,['D'],0,1,"{1: ['D', 'C']}",0.2499999999999998,None,None,None,53.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
62,RANDOM,0,{1: 'D'},{1: 0.2599999999999998},53.0,['D'],0,1,"{1: ['D', 'D']}",0.2599999999999998,None,None,None,54.0,None,None,None,2,None,None,None,0.01,{},0,0
63,RANDOM,0,{1: 'D'},{1: 0.2399999999999998},54.0,['D'],0,1,"{1: ['D', 'C']}",0.2399999999999998,None,None,None,56.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
64,RANDOM,0,{1: 'C'},{1: 0.2599999999999998},56.0,['C'],1,0,"{1: ['C', 'D']}",0.2599999999999998,None,None,None,54.0,None,None,None,1,None,None,None,0.01,{},1,0
65,RANDOM,0,{1: 'D'},{1: 0.2399999999999998},54.0,['D'],0,1,"{1: ['D', 'C']}",0.2399999999999998,None,None,None,56.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
66,RANDOM,0,{1: 'C'},{1: 0.2249999999999998},56.0,['C'],1,0,"{1: ['C', 'C']}",0.2249999999999998,None,None,None,57.5,None,None,None,1,None,None,None,0.01,{},1,1
67,RANDOM,0,{1: 'D'},{1: 0.20499999999999982},57.5,['D'],0,1,"{1: ['D', 'C']}",0.20499999999999982,None,None,None,59.5,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
68,RANDOM,0,{1: 'D'},{1: 0.18499999999999983},59.5,['D'],0,1,"{1: ['D', 'C']}",0.18499999999999983,None,None,None,61.5,None,None,None,2,None,None,None,0.01,{},0,0
69,RANDOM,0,{1: 'D'},{1: 0.16499999999999984},61.5,['D'],0,1,"{1: ['D', 'C']}",0.16499999999999984,None,None,None,63.5,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
70,RANDOM,0,{1: 'C'},{1: 0.18499999999999983},63.5,['C'],1,0,"{1: ['C', 'D']}",0.18499999999999983,None,None,None,61.5,None,None,None,1,None,None,None,0.01,{},1,0
71,RANDOM,0,{1: 'C'},{1: 0.20499999999999982},61.5,['C'],1,0,"{1: ['C', 'D']}",0.20499999999999982,None,None,None,59.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
72,RANDOM,0,{1: 'C'},{1: 0.2249999999999998},59.5,['C'],1,0,"{1: ['C', 'D']}",0.2249999999999998,None,None,None,57.5,None,None,None,1,None,None,None,0.01,{},1,0
73,RANDOM,0,{1: 'C'},{1: 0.2449999999999998},57.5,['C'],1,0,"{1: ['C', 'D']}",0.2449999999999998,None,None,None,55.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
74,RANDOM,0,{1: 'D'},{1: 0.2549999999999998},55.5,['D'],0,1,"{1: ['D', 'D']}",0.2549999999999998,None,None,None,56.5,None,None,None,2,None,None,None,0.01,{},0,0
75,RANDOM,0,{1: 'C'},{1: 0.2749999999999998},56.5,['C'],1,0,"{1: ['C', 'D']}",0.2749999999999998,None,None,None,54.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
76,RANDOM,0,{1: 'C'},{1: 0.2599999999999998},54.5,['C'],1,0,"{1: ['C', 'C']}",0.2599999999999998,None,None,None,56.0,None,None,None,1,None,None,None,0.01,{},1,1
77,RANDOM,0,{1: 'D'},{1: 0.2399999999999998},56.0,['D'],0,1,"{1: ['D', 'C']}",0.2399999999999998,None,None,None,58.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
78,RANDOM,0,{1: 'D'},{1: 0.2499999999999998},58.0,['D'],0,1,"{1: ['D', 'D']}",0.2499999999999998,None,None,None,59.0,None,None,None,2,None,None,None,0.01,{},0,0
79,RANDOM,0,{1: 'D'},{1: 0.2599999999999998},59.0,['D'],0,1,"{1: ['D', 'D']}",0.2599999999999998,None,None,None,60.0,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
80,RANDOM,0,{1: 'D'},{1: 0.2699999999999998},60.0,['D'],0,1,"{1: ['D', 'D']}",0.2699999999999998,None,None,None,61.0,None,None,None,2,None,None,None,0.01,{},0,0
81,RANDOM,0,{1: 'D'},{1: 0.2799999999999998},61.0,['D'],0,1,"{1: ['D', 'D']}",0.2799999999999998,None,None,None,62.0,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
82,RANDOM,0,{1: 'C'},{1: 0.2649999999999998},62.0,['C'],1,0,"{1: ['C', 'C']}",0.2649999999999998,None,None,None,63.5,None,None,None,1,None,None,None,0.01,{},1,1
83,RANDOM,0,{1: 'C'},{1: 0.2849999999999998},63.5,['C'],1,0,"{1: ['C', 'D']}",0.2849999999999998,None,None,None,61.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
84,RANDOM,0,{1: 'C'},{1: 0.2699999999999998},61.5,['C'],1,0,"{1: ['C', 'C']}",0.2699999999999998,None,None,None,63.0,None,None,None,1,None,None,None,0.01,{},1,1
85,RANDOM,0,{1: 'C'},{1: 0.2899999999999998},63.0,['C'],1,0,"{1: ['C', 'D']}",0.2899999999999998,None,None,None,61.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
86,RANDOM,0,{1: 'D'},{1: 0.2999999999999998},61.0,['D'],0,1,"{1: ['D', 'D']}",0.2999999999999998,None,None,None,62.0,None,None,None,2,None,None,None,0.01,{},0,0
87,RANDOM,0,{1: 'C'},{1: 0.31999999999999984},62.0,['C'],1,0,"{1: ['C', 'D']}",0.31999999999999984,None,None,None,60.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
88,RANDOM,0,{1: 'D'},{1: 0.2999999999999998},60.0,['D'],0,1,"{1: ['D', 'C']}",0.2999999999999998,None,None,None,62.0,None,None,None,2,None,None,None,0.01,{},0,0
89,RANDOM,0,{1: 'D'},{1: 0.30999999999999983},62.0,['D'],0,1,"{1: ['D', 'D']}",0.30999999999999983,None,None,None,63.0,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
90,RANDOM,0,{1: 'D'},{1: 0.2899999999999998},63.0,['D'],0,1,"{1: ['D', 'C']}",0.2899999999999998,None,None,None,65.0,None,None,None,2,None,None,None,0.01,{},0,0
91,RANDOM,0,{1: 'D'},{1: 0.2699999999999998},65.0,['D'],0,1,"{1: ['D', 'C']}",0.2699999999999998,None,None,None,67.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
92,RANDOM,0,{1: 'C'},{1: 0.2549999999999998},67.0,['C'],1,0,"{1: ['C', 'C']}",0.2549999999999998,None,None,None,68.5,None,None,None,1,None,None,None,0.01,{},1,1
93,RANDOM,0,{1: 'D'},{1: 0.2649999999999998},68.5,['D'],0,1,"{1: ['D', 'D']}",0.2649999999999998,None,None,None,69.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
94,RANDOM,0,{1: 'C'},{1: 0.2849999999999998},69.5,['C'],1,0,"{1: ['C', 'D']}",0.2849999999999998,None,None,None,67.5,None,None,None,1,None,None,None,0.01,{},1,0
95,RANDOM,0,{1: 'D'},{1: 0.2949999999999998},67.5,['D'],0,1,"{1: ['D', 'D']}",0.2949999999999998,None,None,None,68.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
96,RANDOM,0,{1: 'D'},{1: 0.2749999999999998},68.5,['D'],0,1,"{1: ['D', 'C']}",0.2749999999999998,None,None,None,70.5,None,None,None,2,None,None,None,0.01,{},0,0
97,RANDOM,0,{1: 'D'},{1: 0.2849999999999998},70.5,['D'],0,1,"{1: ['D', 'D']}",0.2849999999999998,None,None,None,71.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
98,RANDOM,0,{1: 'D'},{1: 0.2949999999999998},71.5,['D'],0,1,"{1: ['D', 'D']}",0.2949999999999998,None,None,None,72.5,None,None,None,2,None,None,None,0.01,{},0,0
99,RANDOM,0,{1: 'C'},{1: 0.2799999999999998},72.5,['C'],1,0,"{1: ['C', 'C']}",0.2799999999999998,None,None,None,74.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
100,RANDOM,0,{1: 'C'},{1: 0.2649999999999998},74.0,['C'],1,0,"{1: ['C', 'C']}",0.2649999999999998,None,None,None,75.5,None,None,None,1,None,None,None,0.01,{},1,1
101,RANDOM,0,{1: 'C'},{1: 0.2849999999999998},75.5,['C'],1,0,"{1: ['C', 'D']}",0.2849999999999998,None,None,None,73.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
102,RANDOM,0,{1: 'D'},{1: 0.2649999999999998},73.5,['D'],0,1,"{1: ['D', 'C']}",0.2649999999999998,None,None,None,75.5,None,None,None,2,None,None,None,0.01,{},0,0
103,RANDOM,0,{1: 'C'},{1: 0.24999999999999978},75.5,['C'],1,0,"{1: ['C', 'C']}",0.24999999999999978,None,None,None,77.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
104,RANDOM,0,{1: 'C'},{1: 0.23499999999999976},77.0,['C'],1,0,"{1: ['C', 'C']}",0.23499999999999976,None,None,None,78.5,None,None,None,1,None,None,None,0.01,{},1,1
105,RANDOM,0,{1: 'C'},{1: 0.21999999999999975},78.5,['C'],1,0,"{1: ['C', 'C']}",0.21999999999999975,None,None,None,80.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
106,RANDOM,0,{1: 'C'},{1: 0.23999999999999974},80.0,['C'],1,0,"{1: ['C', 'D']}",0.23999999999999974,None,None,None,78.0,None,None,None,1,None,None,None,0.01,{},1,0
107,RANDOM,0,{1: 'D'},{1: 0.21999999999999975},78.0,['D'],0,1,"{1: ['D', 'C']}",0.21999999999999975,None,None,None,80.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
108,RANDOM,0,{1: 'D'},{1: 0.19999999999999976},80.0,['D'],0,1,"{1: ['D', 'C']}",0.19999999999999976,None,None,None,82.0,None,None,None,2,None,None,None,0.01,{},0,0
109,RANDOM,0,{1: 'C'},{1: 0.21999999999999975},82.0,['C'],1,0,"{1: ['C', 'D']}",0.21999999999999975,None,None,None,80.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
110,RANDOM,0,{1: 'C'},{1: 0.23999999999999974},80.0,['C'],1,0,"{1: ['C', 'D']}",0.23999999999999974,None,None,None,78.0,None,None,None,1,None,None,None,0.01,{},1,0
111,RANDOM,0,{1: 'D'},{1: 0.24999999999999975},78.0,['D'],0,1,"{1: ['D', 'D']}",0.24999999999999975,None,None,None,79.0,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
112,RANDOM,0,{1: 'D'},{1: 0.25999999999999973},79.0,['D'],0,1,"{1: ['D', 'D']}",0.25999999999999973,None,None,None,80.0,None,None,None,2,None,None,None,0.01,{},0,0
113,RANDOM,0,{1: 'C'},{1: 0.27999999999999975},80.0,['C'],1,0,"{1: ['C', 'D']}",0.27999999999999975,None,None,None,78.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
114,RANDOM,0,{1: 'C'},{1: 0.26499999999999974},78.0,['C'],1,0,"{1: ['C', 'C']}",0.26499999999999974,None,None,None,79.5,None,None,None,1,None,None,None,0.01,{},1,1
115,RANDOM,0,{1: 'C'},{1: 0.24999999999999972},79.5,['C'],1,0,"{1: ['C', 'C']}",0.24999999999999972,None,None,None,81.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
116,RANDOM,0,{1: 'C'},{1: 0.26999999999999974},81.0,['C'],1,0,"{1: ['C', 'D']}",0.26999999999999974,None,None,None,79.0,None,None,None,1,None,None,None,0.01,{},1,0
117,RANDOM,0,{1: 'D'},{1: 0.24999999999999975},79.0,['D'],0,1,"{1: ['D', 'C']}",0.24999999999999975,None,None,None,81.0,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
118,RANDOM,0,{1: 'D'},{1: 0.22999999999999976},81.0,['D'],0,1,"{1: ['D', 'C']}",0.22999999999999976,None,None,None,83.0,None,None,None,2,None,None,None,0.01,{},0,0
119,RANDOM,0,{1: 'D'},{1: 0.23999999999999977},83.0,['D'],0,1,"{1: ['D', 'D']}",0.23999999999999977,None,None,None,84.0,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
120,RANDOM,0,{1: 'C'},{1: 0.22499999999999976},84.0,['C'],1,0,"{1: ['C', 'C']}",0.22499999999999976,None,None,None,85.5,None,None,None,1,None,None,None,0.01,{},1,1
121,RANDOM,0,{1: 'D'},{1: 0.23499999999999976},85.5,['D'],0,1,"{1: ['D', 'D']}",0.23499999999999976,None,None,None,86.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
122,RANDOM,0,{1: 'D'},{1: 0.21499999999999977},86.5,['D'],0,1,"{1: ['D', 'C']}",0.21499999999999977,None,None,None,88.5,None,None,None,2,None,None,None,0.01,{},0,0
123,RANDOM,0,{1: 'C'},{1: 0.23499999999999976},88.5,['C'],1,0,"{1: ['C', 'D']}",0.23499999999999976,None,None,None,86.5,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
124,RANDOM,0,{1: 'D'},{1: 0.21499999999999977},86.5,['D'],0,1,"{1: ['D', 'C']}",0.21499999999999977,None,None,None,88.5,None,None,None,2,None,None,None,0.01,{},0,0
125,RANDOM,0,{1: 'D'},{1: 0.22499999999999978},88.5,['D'],0,1,"{1: ['D', 'D']}",0.22499999999999978,None,None,None,89.5,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
126,RANDOM,0,{1: 'D'},{1: 0.2049999999999998},89.5,['D'],0,1,"{1: ['D', 'C']}",0.2049999999999998,None,None,None,91.5,None,None,None,2,None,None,None,0.01,{},0,0
127,RANDOM,0,{1: 'C'},{1: 0.18999999999999978},91.5,['C'],1,0,"{1: ['C', 'C']}",0.18999999999999978,None,None,None,93.0,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
128,RANDOM,0,{1: 'D'},{1: 0.1999999999999998},93.0,['D'],0,1,"{1: ['D', 'D']}",0.1999999999999998,None,None,None,94.0,None,None,None,2,None,None,None,0.01,{},0,0
129,RANDOM,0,{1: 'C'},{1: 0.21999999999999978},94.0,['C'],1,0,"{1: ['C', 'D']}",0.21999999999999978,None,None,None,92.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
130,RANDOM,0,{1: 'D'},{1: 0.1999999999999998},92.0,['D'],0,1,"{1: ['D', 'C']}",0.1999999999999998,None,None,None,94.0,None,None,None,2,None,None,None,0.01,{},0,0
131,RANDOM,0,{1: 'D'},{1: 0.2099999999999998},94.0,['D'],0,1,"{1: ['D', 'D']}",0.2099999999999998,None,None,None,95.0,None,None,None,2,None,None,None,0.01,{1: ['D']},0,0
132,RANDOM,0,{1: 'D'},{1: 0.2199999999999998},95.0,['D'],0,1,"{1: ['D', 'D']}",0.2199999999999998,None,None,None,96.0,None,None,None,2,None,None,None,0.01,{},0,0
133,RANDOM,0,{1: 'C'},{1: 0.2399999999999998},96.0,['C'],1,0,"{1: ['C', 'D']}",0.2399999999999998,None,None,None,94.0,None,None,None,1,None,None,None,0.01,{1: ['D']},1,0
134,RANDOM,0,{1: 'D'},{1: 0.2499999999999998},94.0,['D'],0,1,"{1: ['D', 'D']}",0.2499999999999998,None,None,None,95.0,None,None,None,2,None,None,None,0.01,{},0,0
135,RANDOM,0,{1: 'C'},{1: 0.23499999999999982},95.0,['C'],1,0,"{1: ['C', 'C']}",0.23499999999999982,None,None,None,96.5,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
136,RANDOM,0,{1: 'D'},{1: 0.21499999999999983},96.5,['D'],0,1,"{1: ['D', 'C']}",0.21499999999999983,None,None,None,98.5,None,None,None,2,None,None,None,0.01,{},0,0
